timestamp,reading
1707189601.22794,Reading: 7.2 lbs
1707189601.31488,Reading: 7.1 lbs
1707189601.40362,Reading: 6.7 lbs
1707189601.49142,Reading: 6.6 lbs
1707189601.57958,Reading: 6.6 lbs
1707189601.66652,Reading: 6.5 lbs
1707189601.75471,Reading: 6.1 lbs
1707189601.8425,Reading: 5.7 lbs
1707189601.93046,Reading: 5.7 lbs
1707189602.01715,Reading: 5.7 lbs
1707189602.10536,Reading: 5.8 lbs
1707189602.19346,Reading: 5.8 lbs
1707189602.28162,Reading: 5.8 lbs
1707189602.36839,Reading: 5.7 lbs
1707189602.45684,Reading: 5.6 lbs
1707189602.54475,Reading: 5.6 lbs
1707189602.63213,Reading: 5.6 lbs
1707189602.71972,Reading: 5.6 lbs
1707189602.80748,Reading: 5.5 lbs
1707189602.89574,Reading: 5.4 lbs
1707189602.98333,Reading: 5.5 lbs
1707189603.07015,Reading: 5.6 lbs
1707189603.1584,Reading: 5.5 lbs
1707189603.24672,Reading: 5.5 lbs
1707189603.33435,Reading: 5.5 lbs
1707189603.42122,Reading: 5.4 lbs
1707189603.50931,Reading: 5.5 lbs
1707189603.59761,Reading: 5.5 lbs
1707189603.68547,Reading: 5.4 lbs
1707189603.77218,Reading: 5.3 lbs
1707189603.86005,Reading: 5.3 lbs
1707189603.94785,Reading: 5.3 lbs
1707189604.03653,Reading: 5.3 lbs
1707189604.12328,Reading: 5.2 lbs
1707189604.21147,Reading: 5.1 lbs
1707189604.29911,Reading: 4.9 lbs
1707189604.38753,Reading: 5.0 lbs
1707189604.47449,Reading: 5.3 lbs
1707189604.5622,Reading: 5.3 lbs
1707189604.65095,Reading: 5.3 lbs
1707189604.73834,Reading: 5.3 lbs
1707189604.82527,Reading: 5.2 lbs
1707189604.91382,Reading: 5.2 lbs
1707189605.00143,Reading: 5.1 lbs
1707189605.0887,Reading: 5.1 lbs
1707189605.17593,Reading: 5.1 lbs
1707189605.26436,Reading: 5.1 lbs
1707189605.35191,Reading: 5.1 lbs
1707189605.44044,Reading: 5.0 lbs
1707189605.52691,Reading: 5.0 lbs
1707189605.61554,Reading: 5.1 lbs
1707189605.70354,Reading: 5.2 lbs
1707189605.79178,Reading: 5.7 lbs
1707189605.87791,Reading: 6.3 lbs
1707189605.96633,Reading: 6.8 lbs
1707189606.05462,Reading: 7.0 lbs
1707189606.14247,Reading: 7.2 lbs
1707189606.22886,Reading: 7.3 lbs
1707189606.3176,Reading: 7.3 lbs
1707189606.40556,Reading: 7.4 lbs
1707189606.49301,Reading: 7.4 lbs
1707189606.57969,Reading: 7.3 lbs
1707189606.66826,Reading: 7.2 lbs
1707189606.7565,Reading: 6.9 lbs
1707189606.84482,Reading: 6.6 lbs
1707189606.93139,Reading: 6.5 lbs
1707189607.01966,Reading: 6.5 lbs
1707189607.10744,Reading: 6.4 lbs
1707189607.19513,Reading: 6.3 lbs
1707189607.28228,Reading: 6.3 lbs
1707189607.37055,Reading: 6.3 lbs
1707189607.45835,Reading: 6.4 lbs
1707189607.54673,Reading: 6.6 lbs
1707189607.63461,Reading: 7.1 lbs
1707189607.72185,Reading: 7.6 lbs
1707189607.8095,Reading: 8.0 lbs
1707189607.89693,Reading: 8.2 lbs
1707189607.98548,Reading: 8.4 lbs
1707189608.07243,Reading: 8.7 lbs
1707189608.16027,Reading: 8.9 lbs
1707189608.24851,Reading: 9.0 lbs
1707189608.33668,Reading: 9.0 lbs
1707189608.42451,Reading: 8.9 lbs
1707189608.51151,Reading: 8.9 lbs
1707189608.59962,Reading: 8.9 lbs
1707189608.68733,Reading: 9.0 lbs
1707189608.7746,Reading: 9.1 lbs
1707189608.86278,Reading: 9.2 lbs
1707189608.95042,Reading: 9.3 lbs
1707189609.03857,Reading: 9.3 lbs
1707189609.12518,Reading: 9.3 lbs
1707189609.21382,Reading: 9.3 lbs
1707189609.30136,Reading: 9.2 lbs
1707189609.38911,Reading: 9.2 lbs
